Borough,UHF42,Zip,PoorPhysicalHealthPercent,PoorMentalHealthPercent,HighBPPercent,avgHVI,MedianAge,MedianIncome,PercentCollege,PercentMale,PercentMarried,PercentWhite,PercentBlack,PercentAsian,PercentOtherRace,Percent65plus,ForeignBornPercent,RacialDiversityIndex,MedianHouseholdIncome,PovertyRate,UnemployRate,BAdegreePercent,HomeownershipPercent
MN,310,10005,5.7,14.3,11.5,1.0,31.5,211810.0,84.3,50.2,32.2,67.7,4.4,14.2,13.7,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,310,10006,6.1,14.6,12.6,1.0,31.5,209972.0,84.9,44.1,31.4,65.5,6.1,23.6,4.8,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,310,10007,8.3,13.6,17.9,1.0,33.8,250001.0,86.4,47.4,45.4,71.7,9.0,15.1,4.2,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,310,10038,10.1,15.0,20.8,1.6666666666666667,34.1,115121.0,61.6,44.1,30.9,44.6,11.2,29.5,14.7,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,310,10280,7.2,11.7,18.4,1.0,41.6,206250.0,89.6,48.3,42.3,61.5,1.9,28.4,8.2,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
QN,401,11101,9.5,14.9,20.9,2.6,33.4,116807.0,65.5,51.0,40.7,37.5,10.7,31.2,20.6,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,401,11102,10.6,15.8,23.8,2.3333333333333335,36.7,102996.0,58.2,49.8,37.9,52.0,6.5,15.7,25.8,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,401,11103,10.3,16.3,22.6,2.3333333333333335,36.4,92787.0,52.4,49.9,42.4,59.8,2.9,12.8,24.5,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,401,11104,11.4,15.2,25.6,3.0,39.7,84716.0,51.3,48.6,44.8,44.7,2.9,28.3,24.1,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,401,11105,10.3,15.6,24.1,2.0,36.2,100306.0,54.6,49.9,43.5,65.1,4.2,10.7,20.0,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,401,11106,10.8,15.3,24.8,2.6666666666666665,36.4,85573.0,52.3,49.3,36.2,47.0,8.0,18.5,26.5,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,402,11368,15.6,18.2,28.1,3.1666666666666665,35.1,71798.0,14.4,51.9,39.8,15.7,9.9,12.2,62.2,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,402,11369,13.6,16.0,29.0,3.0,39.2,80577.0,23.7,52.4,38.5,12.7,18.2,14.2,54.9,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,402,11370,12.5,15.2,27.7,2.6666666666666665,40.3,74895.0,24.8,54.8,41.8,34.3,7.5,25.1,33.1,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,402,11372,13.2,14.6,29.2,3.0,42.4,77133.0,35.1,51.9,43.8,30.6,1.9,20.8,46.7,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,402,11373,12.4,14.0,27.1,3.0,38.3,71470.0,29.6,50.2,46.4,9.2,1.8,48.1,40.9,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,402,11377,11.6,14.2,26.4,2.8333333333333335,40.2,73292.0,33.0,49.5,42.4,29.6,2.4,36.2,31.8,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,402,11378,12.8,15.9,28.2,3.0,41.5,84762.0,26.2,49.7,48.9,56.5,0.8,14.8,27.9,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,403,11354,13.9,13.3,33.7,3.0,48.1,62833.0,32.9,48.0,50.6,17.0,3.2,64.7,15.1,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,403,11355,14.2,13.5,33.2,3.0,46.7,53700.0,23.5,48.1,54.6,8.4,2.5,74.6,14.5,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,403,11356,12.5,15.0,27.5,2.0,39.4,91445.0,25.0,50.1,51.1,22.5,0.6,35.3,41.6,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,403,11357,12.0,13.5,32.1,2.0,48.4,97754.0,37.8,46.3,55.5,58.3,0.5,25.2,16.0,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,403,11358,11.8,13.2,29.7,2.5,43.8,88729.0,37.3,49.3,56.2,31.5,0.8,49.2,18.5,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,403,11360,11.0,11.2,32.9,1.6666666666666667,53.0,100250.0,49.1,47.3,52.3,56.7,1.6,29.8,11.9,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,404,11361,10.6,12.5,28.9,2.0,42.9,108391.0,48.1,46.0,53.2,41.5,3.7,41.8,13.0,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,404,11362,9.9,10.9,31.1,1.0,50.5,118989.0,52.2,48.1,57.6,39.8,3.8,48.5,7.9,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,404,11363,10.3,11.6,30.3,1.0,49.6,110833.0,54.9,47.3,57.6,56.8,0.5,28.9,13.8,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,404,11364,10.2,11.4,29.7,1.5,46.3,101222.0,48.7,48.2,57.9,32.0,2.6,50.7,14.7,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,405,11374,11.1,13.0,29.5,2.25,42.2,86333.0,50.6,48.2,50.3,42.5,4.3,29.7,23.5,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,405,11375,9.8,12.0,28.1,2.0,44.5,104319.0,60.6,47.8,53.7,50.9,3.1,28.0,18.0,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,405,11379,12.2,14.7,29.9,2.3333333333333335,46.7,92509.0,35.0,48.7,50.4,66.2,1.6,11.4,20.8,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,405,11385,12.0,16.7,25.6,2.25,36.1,87365.0,34.2,49.2,40.7,53.5,3.8,6.9,35.8,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,406,11365,11.7,13.4,29.6,2.4,44.0,85375.0,38.8,48.1,53.8,24.7,11.4,43.4,20.5,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,406,11366,10.5,12.6,29.8,1.75,42.5,117402.0,51.9,51.2,58.1,32.3,5.0,43.9,18.8,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,406,11367,12.1,15.2,29.0,2.0,35.8,75804.0,45.7,46.0,47.8,45.5,8.9,25.3,20.3,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,407,11414,12.9,15.3,32.0,2.0,45.1,98209.0,31.3,49.1,53.7,66.6,6.2,4.8,22.4,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,407,11415,10.3,13.5,27.5,2.5,37.5,88632.0,53.0,51.0,45.0,48.3,7.1,20.4,24.2,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,407,11416,13.1,16.4,27.5,3.75,38.6,85544.0,24.8,50.8,46.7,17.3,5.1,32.7,44.9,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
